Topic,Subject,Start Date,Start Time,End Date,End Time,Speaker(s),Description,Location,URL
,Show & Tell *Friday #5,2017-06-23,5:00 p.m.,2017-06-23,6:15 p.m.,TBA,,Grand Sonoran B-D,http://ire.org/events-and-training/event/2703/3386/
,Showcase: Pursuing the truth,2017-06-23,5:00 p.m.,2017-06-23,6:15 p.m.,TBA,,Grand Canyon 6-8,http://ire.org/events-and-training/event/2703/3256/
,IRE Board candidate speeches,2017-06-23,6:15 p.m.,2017-06-23,6:30 p.m.,TBA,"Meet the candidates for the IRE Board of Directors on Friday at 6:15 p.m. in Grand Canyon 6-8 following the Showcase Panel. Learn more about the candidates and election.
",Grand Canyon 6-8,http://ire.org/events-and-training/event/2703/3364/
,IRE Conference Registration (Saturday),2017-06-24,8:00 a.m.,2017-06-24,6:00 p.m.,TBA,,East registration desk,http://ire.org/events-and-training/event/2703/3373/
,Getting started with crime data,2017-06-24,9:00 a.m.,2017-06-24,10:00 a.m.,TBA,,Pinnacle Peak 2,http://ire.org/events-and-training/event/2703/3353/
,Investigative reporting in a small shop,2017-06-24,9:00 a.m.,2017-06-24,10:00 a.m.,TBA,,Grand Canyon 1-3,http://ire.org/events-and-training/event/2703/3257/
,Digging into financial documents,2017-06-24,9:00 a.m.,2017-06-24,10:00 a.m.,TBA,,Grand Canyon 4-5,http://ire.org/events-and-training/event/2703/3258/
,Data Fusion for data journalism: Enriching datasets with a graph database,2017-06-24,9:00 a.m.,2017-06-24,10:00 a.m.,TBA,,Pinnacle Peak 1,http://ire.org/events-and-training/event/2703/3343/
,Advanced online video techniques (Sponsored by Knight Foundation),2017-06-24,9:00 a.m.,2017-06-24,10:00 a.m.,TBA,,Grand Canyon 11-13,http://ire.org/events-and-training/event/2703/3323/
,The world is flat: Battling fake news,2017-06-24,9:00 a.m.,2017-06-24,10:00 a.m.,TBA,,Grand Canyon 6,http://ire.org/events-and-training/event/2703/3259/
,Sustaining accountability journalism: What recent research shows,2017-06-24,9:00 a.m.,2017-06-24,10:00 a.m.,TBA,,Grand Canyon 7,http://ire.org/events-and-training/event/2703/3260/
,New ways to cover addiction and drug enforcement,2017-06-24,9:00 a.m.,2017-06-24,10:00 a.m.,TBA,,Grand Canyon 8,http://ire.org/events-and-training/event/2703/3261/
,Deep dive into border stories,2017-06-24,9:00 a.m.,2017-06-24,10:00 a.m.,TBA,,Grand Canyon 9-10,http://ire.org/events-and-training/event/2703/3262/
python,Slither your way to success: Getting started with Python *pre-registration required,2017-06-24,9:00 a.m.,2017-06-24,12:30 p.m.,Cody Winchester,"This low-key, beginner-level session will offer a slow-paced introduction to the Python programming language.
You'll learn how to write and run a Python script, and you'll leave with a basic understanding of data types, useful tools, common use cases and some examples of how journalists are using programming to solve reporting problems. You'll also learn strategies for overcoming common obstacles for a beginning programmer.
Bonus: Hang around afterward for help getting up and running with Python on your personal laptop.
Preregistration is required and seating is limited. Laptops will be provided for the training.
Workshop prerequisites: None.
NOTE: Registration is required for this session. Click here to sign up.
",Pinnacle Peak 3,http://ire.org/events-and-training/event/2703/3187/
,Show & Tell *Saturday #1,2017-06-24,9:00 a.m.,2017-06-24,10:00 a.m.,TBA,,Grand Sonoran B-D,http://ire.org/events-and-training/event/2703/3387/
,Exhibitor/Recruiter Hours (Saturday),2017-06-24,9:00 a.m.,2017-06-24,5:00 p.m.,TBA,,Foyer - 1st floor meeting space,http://ire.org/events-and-training/event/2703/3376/
