Topic,Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
tableau,Advanced calculations and analysis in Tableau Public (Hosted by Tableau),2015-06-04,3:30 p.m.,2015-06-04,5:00:00 p.m.,False,Learn how to use Tableau to dive deeper into your data and ask powerful questions. We&rsquo;ll be starting with a &ldquo;messy&rdquo; dataset and learn how to explore trends that would normally be difficult to see without further analysis and calculations.&nbsp; | URL: http://ire.org/events-and-training/event/1574/2079/,Room 404,False
,Meet the first intelligence whistleblowers and the journalist who revealed their secrets,2015-06-04,3:40 p.m.,2015-06-04,4:40 p.m.,False,"Speakers: Bonnie Raines, John Raines, James Steele, Betty Medsger, Johanna Hamilton, Keith Forsyth - **Moderated by James Steele, Vanity Fair | URL: http://ire.org/events-and-training/event/1574/1916/",Franklin 3&amp;4,False
,50 Apps in 30 Minutes (plus 30 minutes of other cool mobile stuff),2015-06-04,3:40 p.m.,2015-06-04,4:40 p.m.,False,"Speakers: David Ho - Supercharge your smartphone for reporting! Can't stand the idea of being without your phone? Then you can't be without this session. WSJ's executive mobile editor will help you turn your phone into a Swiss Army Knife of journalism goodness with this always-updating and fun session on apps and tools for gathering and producing news. Want to use your phone to record interviews? Take better notes? Transcribe audio? Edit video? Track Tweets? Talk on camera? ID airplanes? Translate Swahili? There's an app for that. Plus, learn about more tips, tricks and mobile gear. The mobile age is here. You should be here, too. | URL: http://ire.org/events-and-training/event/1574/1915/",Franklin 1&amp;2,False
,Investigating child &amp; family issues (Sponsored by Temple University School of Media and Communication),2015-06-04,3:40 p.m.,2015-06-04,4:40 p.m.,False,"Speakers: Alex Campbell, Karen de Sa, Marisa Kwiatkowski, Jenifer McKim - **Moderated by Jenifer McKim, New England Center for Investigative Reporting | URL: http://ire.org/events-and-training/event/1574/1920/",Salon L,False
,Game on: Creating interactive experiences from investigations,2015-06-04,3:40 p.m.,2015-06-04,4:40 p.m.,False,"Speakers: Adam Auriemma, Asi Burak, Mitch Gelman, Jennifer Forsyth - **Moderated by Jennifer Forsyth, The Wall Street Journal | URL: http://ire.org/events-and-training/event/1574/2031/",Franklin 5&amp;6,False
,Show &amp; Tell (Thursday - #4),2015-06-04,3:40 p.m.,2015-06-04,4:40 p.m.,False,"Speakers: Fred Mamoun - **Moderated by Fred Mamoun, WNBC New York City | URL: http://ire.org/events-and-training/event/1574/2063/",Franklin 8,False
,Tell stories about your community with real estate data (Sponsored by Knight Foundation),2015-06-04,3:40 p.m.,2015-06-04,4:40 p.m.,False,"Speakers: Skylar Olsen - Housing data is about more than just real estate. Get beyond the market reports and tell stories about your community: Watchdog government programs, profile up-and-coming neighborhoods, and inform your daily reports on transit, crime, and new development. | URL: http://ire.org/events-and-training/event/1574/1996/",Franklin 7,False
,INN: Workshops (choose one): Measuring metrics; Do&#39;s and don&#39;ts of grant writing; Technology innovation; Creative Marketing,2015-06-04,3:40 p.m.,2015-06-04,4:50 p.m.,False,"Speakers: Lauren Fuhrmann, Adam Schweigert, Irma Simpson - -Measuring metrics: What really tells the story of your audience and impactA discussion of the many different ways to measure impact both qualitatively and quantitatively. | URL: http://ire.org/events-and-training/event/1574/2120/",Room 414-415,False
,"Campus coverage: Investigating off-campus housing, from slumlords to safety violations (Sponsored by Lumina Foundation)",2015-06-04,3:40 p.m.,2015-06-04,4:40 p.m.,False,"Speakers: Jill Riepenhoff, Todd Wallack, Frank LoMonte - **Moderated by Frank LoMonte, Student Press Law Center | URL: http://ire.org/events-and-training/event/1574/1919/",Salon K,False
,The ethics of sourcing,2015-06-04,3:40 p.m.,2015-06-04,4:40 p.m.,False,"Speakers: Margaret Sullivan, Aidan White, David Boardman, Wendy Ruderman - **Moderated by David Boardman, Temple University | URL: http://ire.org/events-and-training/event/1574/1918/",Franklin 9&amp;10,False
,Best of broadcast,2015-06-04,4:50 p.m.,2015-06-04,5:50 p.m.,False,"Speakers: Tisha Thompson - Watch and listen as the photographers, editors and producers behind this year&rsquo;s IRE Award winners and finalists explain how they did it, what they would do differently and what they were really thinking when things got hard. | URL: http://ire.org/events-and-training/event/1574/1953/",Franklin 9&amp;10,False
,Management track: Guiding and editing the in-depth story,2015-06-04,4:50 p.m.,2015-06-04,5:50 p.m.,False,"Speakers: Dwayne Bray, Brent Walth, Gordon Witkin, Greg Borowski - **Moderated by Greg Borowski, Milwaukee Journal Sentinel | URL: http://ire.org/events-and-training/event/1574/1926/",Salon K,False
,Power couple: Data-driven reporting and people-driven narrative,2015-06-04,4:50 p.m.,2015-06-04,5:50 p.m.,False,"Speakers: Audra Burch, Michael Sallah, Steven Rich, Deborah Nelson, Carol Marbin Miller - **Moderated by Deborah Nelson, University of Maryland | URL: http://ire.org/events-and-training/event/1574/1924/",Franklin 5&amp;6,False
,Show &amp; Tell (Thursday - #5),2015-06-04,4:50 p.m.,2015-06-04,5:50 p.m.,False,"Speakers: Steve Eckert - **Moderated by Steve Eckert, KARE 11 Minneapolis/St. Paul | URL: http://ire.org/events-and-training/event/1574/2064/",Franklin 8,False
spreadsheets,"Access to your information: Subpoenas, shield laws and more",2015-06-04,4:50 p.m.,2015-06-04,5:50 p.m.,False,"Speakers: Amy Ginensky, Gregg Leslie, Mickey Osterreicher, Maud Beelman - **Moderated by Maud Beelman, The Associated Press | URL: http://ire.org/events-and-training/event/1574/2097/",Franklin 3&amp;4,False
,Tools for small newsrooms that don&#39;t code,2015-06-04,4:50 p.m.,2015-06-04,5:50 p.m.,False,"Speakers: Alexandra Kanik, Alex Salkever, Grant Smith, Megan Luther - **Moderated by Megan Luther, IRE/NICAR | URL: http://ire.org/events-and-training/event/1574/1923/",Franklin 1&amp;2,False
,Banjo: Report the news first (Sponsored by Knight Foundation),2015-06-04,4:50 p.m.,2015-06-04,5:50 p.m.,False,"Speakers: Jennifer Peck - In today&rsquo;s world, events are captured by over 7 billion cell phones. Combine mobile access with social sharing and everyone becomes a reporter. Nearly every story is reported first by social media users. Banjo alerts you to these stories, but when breaking news happens, an alert is not enough. Banjo gives you the fastest way to get &ldquo;eyes on the ground.&rdquo; We show you everything that is happening from the people who are actually there, in real time, across all social networks. You&rsquo;ll be reporting the news as it unfolds with eyewitness sources. With Banjo, you&rsquo;ll turn signals into stories and get news out before anyone else. | URL: http://ire.org/events-and-training/event/1574/1928/",Franklin 7,False
,On the beat: Government,2015-06-04,4:50 p.m.,2015-06-04,5:50 p.m.,False,"Speakers: Matt Dixon, Anita Hofschneider, Challen Stephens, Terri Langford - **Moderated by Terri Langford, The Texas Tribune | URL: http://ire.org/events-and-training/event/1574/1927/",Salon L,False
,INN: Executive directors meeting,2015-06-04,5:00:00 p.m.,2015-06-04,6:00:00 p.m.,False,Speakers: TBA | URL: http://ire.org/events-and-training/event/1574/2121/,Room 414-415,False
,Welcome reception (Co-Sponsored by Pepper Hamilton LLP and Calkins Media),2015-06-04,6:00:00 p.m.,2015-06-04,7:30 p.m.,False,"Kick off the conference with a welcome reception on Thursday night beginning at 6 p.m. Meet up with friends you have not seen since last year and welcome new attendees. Each attendee will receive one drink ticket for beer, wine, soda or bottled water. | URL: http://ire.org/events-and-training/event/1574/2083/",See printed schedule for room information,False
,IRE Conference Registration (Friday),2015-06-05,7:30 a.m.,2015-06-05,6:00:00 p.m.,False,Registration will be located on the 4th floor of the Philadelphia Marriott Downtown.&nbsp; | URL: http://ire.org/events-and-training/event/1574/2087/,Franklin Hall Foyer,False
