Topic,Subject,Start Date,Start Time,End Date,End Time,Speaker(s),Description,Location,URL
python,Visualization and analysis in Python,2017-03-03,11:30 a.m.,2017-03-03,12:30 p.m.,TBA,,City Terrace 4,http://ire.org/events-and-training/event/2702/2947/
python,Data wrangling with Python,2017-03-03,11:30 a.m.,2017-03-03,12:30 p.m.,TBA,,City Terrace 9,http://ire.org/events-and-training/event/2702/2948/
,Gathering and cleaning data with R (intermediate),2017-03-03,11:30 a.m.,2017-03-03,12:30 p.m.,TBA,,City Terrace 10,http://ire.org/events-and-training/event/2702/2949/
,Jobs and career straight-talk: For (and by) young'uns only,2017-03-03,11:30 a.m.,2017-03-03,1:30 p.m.,"Madi Alexander, Rachel Schallom",,River Terrace 3,http://ire.org/events-and-training/event/2702/2911/
,Lunch on your own (Friday),2017-03-03,12:30 p.m.,2017-03-03,2:15 p.m.,TBA,,See printed schedule for room information,http://ire.org/events-and-training/event/2702/2997/
,Conversations 8 (Sponsored by SRCCON - Knight Mozilla OpenNews),2017-03-03,12:45 p.m.,2017-03-03,1:45 p.m.,TBA,,City Terrace 12,http://ire.org/events-and-training/event/2702/2981/
,Digging into data for stories: A crash course (beginner) *pre-registered attendees only,2017-03-03,2:15 p.m.,2017-03-03,12:30 p.m.,TBA,"Kickstart your data skills with IRE's original mini-boot camp. This series of hands-on classes will introduce you to spreadsheets and databases with IRE's proven techniques. IRE's experienced trainers will walk you through sorting, calculating and interviewing data. You'll come away with a solid base for using data analysis in your own newsroom. In addition, we'll provide you with our boot camp materials to help keep you on track long after you leave the conference.  
Preregistration is required and seating is limited. Laptops will be provided for the training.â¨
Workshop prerequisites: There are no prerequisites for this workshop and beginners are welcome. This workshop is good for those wanting to get started analyzing data for stories
Workshop times are Friday, March 3, 2:15pm - 4:30pm; Saturday, March 4, 2:15pm - 5:45pm; Sunday, March 5, 9:00am - 12:30pm (Note: Registration for this session reserves your seat for all days of this workshop and attendees are expected to attend all sessions to complete the workshop.)
**Speakers are IRE/NICAR Staff
NOTE: Registration is required for this session. Click here to sign up.
",City Terrace 10/11,http://ire.org/events-and-training/event/2702/2882/
,What's the impact?,2017-03-03,2:15 p.m.,2017-03-03,3:15 p.m.,TBA,,Conference Center B,http://ire.org/events-and-training/event/2702/2913/
,Advanced PDF manipulation,2017-03-03,2:15 p.m.,2017-03-03,3:15 p.m.,TBA,,City Terrace 7,http://ire.org/events-and-training/event/2702/2950/
,The art and science of the data story comment request,2017-03-03,2:15 p.m.,2017-03-03,3:15 p.m.,TBA,,River Terrace 1,http://ire.org/events-and-training/event/2702/3010/
,Watch the web for news tips with Klaxon,2017-03-03,2:15 p.m.,2017-03-03,3:15 p.m.,Tom Meagher,,City Terrace 12,http://ire.org/events-and-training/event/2702/2982/
,Bond finance training - EMMA,2017-03-03,3:30 p.m.,2017-03-03,4:30 p.m.,"Allen Sexton, Leah Szarek",,City Terrace 9,http://ire.org/events-and-training/event/2702/2953/
,Co-op models in data journalism,2017-03-03,3:30 p.m.,2017-03-03,4:30 p.m.,TBA,,City Terrace 12,http://ire.org/events-and-training/event/2702/2983/
,TBD 1,2017-03-03,3:30 p.m.,2017-03-03,4:30 p.m.,TBA,,City Terrace 5,http://ire.org/events-and-training/event/2702/2952/
javascript,Intro to Javascript,2017-03-03,3:30 p.m.,2017-03-03,4:30 p.m.,Chris Essig,,City Terrace 7,http://ire.org/events-and-training/event/2702/2951/
,The present and future of bots,2017-03-03,3:30 p.m.,2017-03-03,4:30 p.m.,TBA,,River Terrace 1,http://ire.org/events-and-training/event/2702/3014/
,Data & abuse of power,2017-03-03,3:30 p.m.,2017-03-03,4:30 p.m.,TBA,,Conference Center B,http://ire.org/events-and-training/event/2702/2914/
,Data journalism from space,2017-03-03,3:30 p.m.,2017-03-03,4:30 p.m.,TBA,,River Terrace 2,http://ire.org/events-and-training/event/2702/2915/
,Lightning Talks (Sponsored by the Knight Foundation),2017-03-03,4:45 p.m.,2017-03-03,6:00 p.m.,TBA,"**Moderated by Sisi Wei, ProPublica
Sometimes you don't need 45 minutes to explain a useful technique or interesting resource. Join your colleagues for a session of short (5-minute) talks about doing CAR, Web development or other related topics. 
",Conference Center A&B,http://ire.org/events-and-training/event/2702/2992/
,Philip Meyer Award Presentation,2017-03-03,6:00 p.m.,2017-03-03,6:15 p.m.,TBA,"The presentation of the 2016 Philip Meyer Journalism Awards will take place on Friday at the 2017 CAR Conference in Jacksonville. The awards recognize the best uses of social research methods in journalism and are named in honor of Philip Meyer, author of “Precision Journalism” and retired Knight Chair in Journalism and UNC School of Journalism and Mass Communications. 
Three awards are given annually — a first, second and third place — to recognize the best work using techniques that are part of precision journalism, computer-assisted reporting and social science research. The awards are: $500 for first, $300 for second, and $200 for third.
For information on the 2016 Award winners, click here.
",Conference Center A&B,http://ire.org/events-and-training/event/2702/2993/
,Philip Meyer Award Reception & David Donald Remembrance,2017-03-03,6:15 p.m.,2017-03-03,7:30 p.m.,TBA,"Join fellow CAR attendees in celebrating the Philip Meyer Award Winners at a reception Friday night with light hor d'oeuvres and a cash bar beginning at 6:15 p.m. in River Terrace 1.
Join us for a brief tribute to former IRE training director and Philip Meyer Award winner David Donald, who died in December.
",River Terrace 1,http://ire.org/events-and-training/event/2702/2994/
,Conference registration (Saturday),2017-03-04,8:30 a.m.,2017-03-04,6:00 p.m.,TBA,"Registration will be located on the 3rd floor Skybridge of the Hyatt Regency Jacksonville Riverfront. 
",3rd floor - Skybridge,http://ire.org/events-and-training/event/2702/3002/
,Conference sales (Saturday),2017-03-04,8:30 a.m.,2017-03-04,6:00 p.m.,TBA,,3rd floor - Skybridge,http://ire.org/events-and-training/event/2702/3006/
,Extracting data from PDFs (repeat session),2017-03-04,9:00 a.m.,2017-03-04,10:00 a.m.,TBA,,City Terrace 7,http://ire.org/events-and-training/event/2702/2954/
statistics,Stats: An introduction,2017-03-04,9:00 a.m.,2017-03-04,10:00 a.m.,TBA,,City Terrace 9,http://ire.org/events-and-training/event/2702/2955/
python,Build your first news app (intermediate) *pre-registered attendees only,2017-03-04,9:00 a.m.,2017-03-04,5:45 p.m.,"Armand Emamdjomeh, Ben Welsh","This mini-boot camp will walk you through the process of building a simple online news application from a dataset. You will get hands-on experience in every stage of the development process, writing Python, HTML and JavaScript using version control tools. You won't stop until you've deployed a working application onto the World Wide Web.
Preregistration is required and seating is limited. Laptops will be provided for the training.
Workshop prerequisites: If you have a good attitude and know how to take a few code crashes in stride, you are qualified for this class.
NOTE: Registration is required for this session. Click here to sign up.
",City Terrace 6,http://ire.org/events-and-training/event/2702/2885/
databases,Intro to database manager MySQL I,2017-03-04,9:00 a.m.,2017-03-04,10:00 a.m.,TBA,,City Terrace 11,http://ire.org/events-and-training/event/2702/2957/
,Breaking through the Facebook wall: Reporting on Facebook using components of Facebook,2017-03-04,9:00 a.m.,2017-03-04,10:00 a.m.,TBA,,Conference Center B,http://ire.org/events-and-training/event/2702/2916/
,Securing data and communications,2017-03-04,9:00 a.m.,2017-03-04,11:15 a.m.,Jorge Luis Sierra,,River Terrace 1,http://ire.org/events-and-training/event/2702/2917/
,Simple ways to create immersive news stories,2017-03-04,9:00 a.m.,2017-03-04,10:00 a.m.,TBA,,Conference Center A,http://ire.org/events-and-training/event/2702/3008/
databases,Advanced analysis in SQL,2017-03-04,9:00 a.m.,2017-03-04,10:00 a.m.,TBA,,City Terrace 10,http://ire.org/events-and-training/event/2702/2956/
,Intro to R (intermediate) *pre-registered attendees only,2017-03-04,9:00 a.m.,2017-03-04,12:30 p.m.,TBA,"â¨Add statistical heft to your reporting by using R, a free, powerful open-source programming language. By the end of this two-hour session, you will be able to take raw data, import it into R, and start your analysis. Topics will include basic data importing, working with directories, reading in data, installing packages, creating simple visualizations, and how to clean, explore and sort your data. We'll also talk about how to find help when you're stuck.
Preregistration is required and seating is limited. Laptops will be provided for the training.â¨ â¨
Workshop prerequisites: This session will be most helpful if you're comfortable working with data and you're ready to take your skills to the next level.â¨
NOTE: Registration is required for this session. Click here to sign up.
",City Terrace 5,http://ire.org/events-and-training/event/2702/2886/
,Conversations 9 (Sponsored by SRCCON - Knight Mozilla OpenNews),2017-03-04,9:00 a.m.,2017-03-04,10:00 a.m.,TBA,,City Terrace 12,http://ire.org/events-and-training/event/2702/2984/
,Drones for mapping,2017-03-04,10:15 a.m.,2017-03-04,11:15 a.m.,TBA,,River Terrace 2,http://ire.org/events-and-training/event/2702/3023/
databases,Intro to database manager MySQL II,2017-03-04,10:15 a.m.,2017-03-04,11:15 a.m.,TBA,,City Terrace 11,http://ire.org/events-and-training/event/2702/2961/
